"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"3016",6171.89990234375,7243.7998046875,6546.7998046875,7490.60009765625,7233.2998046875,6189.60009765625,6373.10009765625,6611,6288.7001953125,6820.2998046875,6738.60009765625,6113.10009765625,6744.7998046875,6025.60009765625,6108.2001953125,6504.7998046875,5027.5,6047.7998046875,6263.39990234375,6023,6652.2998046875,5476.10009765625,6882.2998046875,6072.5,6047.7001953125,6044.2001953125,6509.89990234375,6190.89990234375,5776.39990234375,6226,6366.7998046875,6356.7001953125,6059.89990234375
"3017",6284.60009765625,7269.10009765625,6565.89990234375,7470.7998046875,7241.2001953125,6191.7998046875,6384.7001953125,6706.5,6302.2998046875,6711.2001953125,6768.60009765625,6117,6757.5,6014.7998046875,6134,6504,5060.39990234375,6030.5,6145.2001953125,6000.7001953125,6772.89990234375,5484.60009765625,6898.2001953125,6078.10009765625,6037.10009765625,6039.89990234375,6537.39990234375,6198.2001953125,5807.60009765625,6155.7001953125,6370,6360.10009765625,6094.39990234375
"3018",6292.89990234375,7254.5,6568.7001953125,7485.7998046875,7405.5,6202.39990234375,6398.7998046875,6667.2998046875,6318.10009765625,6737.10009765625,6763,6109.2001953125,6750.7001953125,6054.39990234375,6151.7998046875,6507.39990234375,5063.5,6025.10009765625,6151.89990234375,6002.5,6772.60009765625,5497.89990234375,6875.7998046875,6070.7998046875,6053.5,6044.2998046875,6547.10009765625,6194.60009765625,5779.39990234375,6150.60009765625,6207.10009765625,6397.7001953125,6103.39990234375
"3019",6289.2998046875,7251.2998046875,6583.89990234375,7470.7998046875,7415,6209.7001953125,6579.2001953125,6681,6339.5,6768.39990234375,6783.7998046875,6120.39990234375,6743.5,6062.5,6167.2998046875,6508.2998046875,5235.2998046875,6182.2001953125,6293.7001953125,6014.39990234375,6778.10009765625,5511.2001953125,6821.39990234375,6239.5,6070.7001953125,6034,6549.89990234375,5897.7001953125,5822,6269.7998046875,6381.7998046875,6356.7001953125,6106.39990234375
"3020",6300.5,7261.2998046875,6594.10009765625,7500.5,7342.2001953125,6234.7001953125,6538,6688.39990234375,6313.60009765625,6767,6700.5,6153.2998046875,6738.7001953125,6067.60009765625,6188.2001953125,6527.10009765625,5238.89990234375,6174.2998046875,6311.39990234375,6017.7998046875,6841.89990234375,5522.10009765625,6974.60009765625,6196.5,6061.60009765625,6044,6540.7001953125,5891.5,5788.39990234375,6282.7998046875,6244.2998046875,6562.7998046875,5929.5
"3021",6281.7001953125,7271.5,6591.7001953125,7470.7998046875,7417.2001953125,6221,6598.89990234375,6664.7001953125,6353.2998046875,6805.60009765625,6816.10009765625,6148.5,6882.5,6075.60009765625,6146.7001953125,6617.5,5189.7998046875,6176.10009765625,6303.39990234375,6015.10009765625,6853.5,5534.2998046875,7002.39990234375,6234.7998046875,6085.39990234375,6031,6555,5898.39990234375,5835.10009765625,6277.39990234375,6215.10009765625,6535.89990234375,6114.39990234375
"3022",6307.89990234375,7301.7998046875,6581.2001953125,7492.7998046875,7408.2001953125,6082.7001953125,6574.2998046875,6654.5,6336.7998046875,6815.10009765625,6817,6137.10009765625,6731,6058.7998046875,6156.7001953125,6507.39990234375,5180.7998046875,6162.89990234375,6161.7001953125,6010.7998046875,6839.39990234375,5534.7998046875,7004.89990234375,6215.89990234375,5809.7001953125,6035.2001953125,6563.39990234375,5886.10009765625,5807.60009765625,6256.2001953125,6194.10009765625,6375.2998046875,5973.60009765625
"3023",6324.2998046875,7267.7001953125,6579.5,7488.7001953125,7400.10009765625,6082.2001953125,6578.5,6642.5,6353,6826.2001953125,6835.89990234375,6137.7998046875,6720.39990234375,6042.5,6150.39990234375,6505.89990234375,5173.2001953125,5983,6148.2998046875,5935.2001953125,6830.10009765625,5527.7001953125,6968.89990234375,6175.2998046875,5813.89990234375,6043.89990234375,6549.5,6120.7998046875,5805.2998046875,6209.5,6188.7998046875,6373.2998046875,5986.60009765625
"3024",6284.89990234375,7252.60009765625,6575.7998046875,7483.89990234375,7389.2998046875,6080.5,6561.89990234375,6654.5,6239.60009765625,6841.60009765625,6812.2001953125,6124.5,6709.39990234375,6043.60009765625,6152.2998046875,6507.2998046875,5158.7998046875,5964.7998046875,6146.10009765625,5934.39990234375,6820.2001953125,5534.2998046875,6980.2001953125,6144.60009765625,5782.2001953125,6115.89990234375,6547.10009765625,6103.89990234375,5801.7998046875,6205.89990234375,6181.7998046875,6393.39990234375,5991.2998046875
"3025",6313.2998046875,7259.2001953125,6604.39990234375,7838.7001953125,7375.2001953125,6076.39990234375,6566.60009765625,6649.2001953125,6225,6852.7001953125,6890.2998046875,6103.39990234375,6698.2998046875,6037.7001953125,6161.2998046875,6084.2998046875,5119.60009765625,5951.39990234375,6194.7001953125,5984.60009765625,6665.39990234375,5527.10009765625,6980.2998046875,6162.5,5749.10009765625,6108.39990234375,6548.7001953125,6084.2001953125,5800.2998046875,6178.2001953125,6337.5,6381.10009765625,5999.89990234375
"3026",6328,7282.39990234375,6531.2998046875,7700.2001953125,7369.2998046875,6166.89990234375,6648.89990234375,6630.60009765625,6538.7998046875,6828.89990234375,6762.89990234375,6099.5,6686.10009765625,6026.60009765625,6242.7998046875,6087.60009765625,4951.89990234375,5928.60009765625,6231.2998046875,5955,6656.5,5583.7998046875,6972.89990234375,6103.7998046875,5747.7998046875,6108.7001953125,6508.39990234375,6072.89990234375,5790,6156,6367,6381.39990234375,6003.10009765625
