"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4678.62422318892,494.125018062655,0.105613315900344,5667.60009765625,3740.69995117188,0,-1347.17271599257,3331.45150479403,2117.11532474798,0.63549336428923,5475.7001953125,0,0.272727272727273,-4090.55553406891,1347.17271839489,-1622.99030668532,-0.529880048388886,-0.272727272727273,-0.404380107005596,-1.22785984673123,1,1
"2",2,1,1,4676.263634884,482.108126722149,0.103096866294218,5693.7998046875,3845.60009765625,0,-1374.97273625872,3301.29089725379,2097.29708209495,0.635296054594766,5300.60009765625,0,0.272727272727273,-4100.0999667886,1374.97273763021,-1615.1889553728,-0.532199188300548,-0.272727272727273,-0.416495479814428,-1.24196870084951,1,1
"3",3,1,1,4613.97877456203,512.950323285929,0.111173099909767,5910.60009765625,3412.39990234375,0,-1462.05148304493,3151.92729048295,2162.26466395328,0.686013497355127,5423.7001953125,0,0.303030303030303,-4036.81995150786,1462.05148407907,-1649.31434066735,-0.574840397445359,-0.303030303030303,-0.463859520953895,-1.28074653361985,1,1
"4",4,1,1,4621.38787286932,517.108714217196,0.111894679356601,5973.5,3420.30004882812,0,-1784.54847466928,2836.83939245975,2223.5147912062,0.78380002657755,5423.10009765625,0,0.363636363636364,-4116.14998869244,1784.54848040956,-1706.406076989,-0.67190534722095,-0.363636363636364,-0.629062216004391,-1.45096335013997,1,1
"5",5,1,1,4645.40302438447,509.248296536845,0.1096241367786,5606.7998046875,3427.30004882812,0,-1540.48482304856,3104.91819809422,2126.50925163748,0.684884147009965,5424.7998046875,0,0.303030303030303,-4060.37002230295,1540.48482629025,-1617.26095510063,-0.575260010231365,-0.303030303030303,-0.496143448801356,-1.30772206005143,1,1
"6",6,1,1,4621.31213008996,501.697953200612,0.108561797835293,5511.60009765625,3422.30004882812,0,-1082.92424493111,3538.38788026752,1915.71353643875,0.541408573978587,5335.5,0,0.212121212121212,-3922.27148959083,1082.92424982244,-1414.01558323814,-0.432846776143294,-0.212121212121212,-0.306050179227167,-1.10849110451234,1,1
"7",7,1,1,4623.27875680634,491.054901778513,0.106213561329303,5494.7998046875,3648.80004882812,0,-1262.63630628117,3360.64244495739,1988.96748529747,0.591841446352586,5327.89990234375,0,0.242424242424242,-3979.175022493,1262.63631184896,-1497.91258351896,-0.485627885023283,-0.242424242424242,-0.375712777232742,-1.18405188521728,1,1
"8",8,1,1,4611.45762310606,505.433061117126,0.109603752745036,5610.10009765625,3687.10009765625,0,-1426.51216720883,3184.94545306581,2032.95940482989,0.638302738551762,5323.5,0,0.272727272727273,-3979.28895584773,1426.51217004025,-1527.52634371276,-0.528698985806726,-0.272727272727273,-0.447892181586869,-1.24940568511693,1,1
"9",9,1,1,4597.3818359375,493.380517410621,0.107317715825536,5556.7001953125,3745.19995117188,0,-1776.77883756102,2820.60299775095,2207.8408303303,0.782754904568545,5316.89990234375,0,0.363636363636364,-4077.87500256755,1776.77883818655,-1714.46031291968,-0.67543718874301,-0.363636363636364,-0.629928720552931,-1.44574582308078,1,1
"10",10,1,1,4580.03329930161,508.245746038972,0.110969880091586,5532.5,3674.39990234375,0,-1511.70603505289,3068.32725941051,2109.63268511199,0.687551394213829,5265.39990234375,0,0.303030303030303,-3986.68997012964,1511.7060398911,-1601.38693907302,-0.576581514122243,-0.303030303030303,-0.492680834619747,-1.299304028898,1,1
