"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4643.08783883759,508.338382175034,0.10948282690734,5712.7998046875,3552.80004882812,0,-381.866597464533,4261.22123579545,580.981624426708,0.136341577279842,5429.5,2978.60009765625,0,-601.349978140931,381.86660304214,-72.6432422516741,-0.0268587503725011,0,-0.0896143561514119,-0.141121510680887,1,1
"2",2,1,1,4617.74846117424,512.842487910894,0.111058991675888,5693.2001953125,3533.89990234375,0,-401.751464255936,4215.99698893229,588.027236333733,0.139475250546289,5368.5,2928.69995117188,0,-629.899905853119,401.75147224195,-75.1847484228388,-0.0284162588704015,0,-0.0952921610975059,-0.149407105248584,1,1
"3",3,1,1,4626.25455729167,508.165854150062,0.109843902417587,5522.2998046875,3630,0,-498.163619557757,4128.09093128551,603.77844448503,0.146260936237906,5307.60009765625,2859.5,0,-773.800050261823,498.163626006156,-95.6125903349682,-0.0364170338203197,0,-0.12067651315099,-0.187447433484915,1,1
"4",4,1,1,4631.7363577178,508.053778934354,0.109689701592749,5625.60009765625,3591.39990234375,0,-472.793933649959,4158.9424198035,607.394082396323,0.146045321402892,5354.2998046875,2854.39990234375,0,-786.949952342504,472.793937914299,-99.3403034619687,-0.0363556198101422,0,-0.113681288636907,-0.189218765952447,1,1
"5",5,1,1,4637.70302882339,508.000383415393,0.109537066142046,5699.10009765625,3585.89990234375,0,-436.081786544342,4201.62124171402,603.986718951683,0.143750872390699,5433.10009765625,2895.80004882812,0,-751.399910598495,436.081787109375,-95.9863355362905,-0.0342138062486538,0,-0.10378893323722,-0.178835708259121,1,1
"6",6,1,1,4605.92121656013,520.717354698469,0.113053899581756,5682.60009765625,3564.30004882812,0,-451.60304153914,4154.31816702178,607.162130250152,0.146152053318878,5342,2852.10009765625,0,-730.650031063135,451.603049538353,-86.4447755516821,-0.033098153737122,0,-0.108706898071529,-0.17587724427639,1,1
"7",7,1,1,4579.36971028646,500.796257220094,0.109359210743604,5479.5,3542.39990234375,0,-469.1575775007,4110.21212861032,598.344321938814,0.145575046546592,5254.5,2842.39990234375,0,-727.500002894274,469.157581676136,-97.5480647187205,-0.0362158358029879,0,-0.114144370854972,-0.176998164603306,1,1
"8",8,1,1,4545.59090169271,523.964058173168,0.115268634926661,5462.89990234375,3358.69995117188,0,-470.112112546186,4075.47878196023,602.632596944892,0.147867926490599,5181.89990234375,2804.5,0,-652.299993729369,470.11211973248,-78.6685387717238,-0.0325992915639383,0,-0.115351382671184,-0.160054812852105,1,1
"9",9,1,1,4506.16368519176,525.230291343336,0.116558191853829,5444.7001953125,3333.5,0,-475.930343230538,4030.23333925189,606.492054461768,0.150485593118126,5086.89990234375,2738.30004882812,0,-650.524967505238,475.930345939867,-81.2617631184311,-0.0339274012642976,0,-0.118090021884163,-0.161411241669196,1,1
"10",10,1,1,4474.91814630682,515.064066399048,0.115100220732335,5425.7001953125,3452.30004882812,0,-483.38481685035,3991.53332149621,608.521203369754,0.152452993463086,4991,2690.10009765625,0,-775.149903954572,483.384824810607,-93.4571369707063,-0.0373527727307512,0,-0.121102538276983,-0.194198530118749,1,1
"11",11,1,1,4470.08184629498,504.469036478643,0.11285454133167,5504.2998046875,3513.89990234375,0,-475.068814955172,3993.27269028172,605.681198424542,0.15167539143985,4971.7998046875,2705.30004882812,0,-813.199956392371,476.809156013258,-101.2121619459,-0.0388208501081802,0,-0.118967286183919,-0.203642480607805,1,1
"12",12,1,1,4576.31213008996,511.585498748303,0.111789905103839,5489.10009765625,3591,0,-553.915143455536,4022.39698005445,617.706952908905,0.153566879642134,5192.10009765625,2754.39990234375,0,-863.566738034358,553.915150035511,-106.121454160602,-0.0417769745382952,0,-0.137707726562592,-0.214689584920747,1,1
"13",13,1,1,4583.02120324337,509.421565093798,0.111154093010367,5489,3588.10009765625,0,-547.084812806756,4035.93639026989,611.644219099961,0.151549519109011,5264.5,2781.60009765625,0,-837.199956435616,547.084812973485,-102.222654006163,-0.0403954260986444,0,-0.135553378424324,-0.207436360606177,1,1
"14",14,1,1,4558.55152107008,509.181503464656,0.111698091183388,5472.60009765625,3557.10009765625,0,-548.248493994802,4010.30302290483,617.947642754002,0.154090012456564,5170.5,2751.19995117188,0,-846.23331947263,548.248498165247,-108.766139289346,-0.0423919212731764,0,-0.136709991954095,-0.211014807270017,1,1
"15",15,1,1,4533.49091500947,516.022534461258,0.113824543632107,5455.60009765625,3523.60009765625,0,-562.542466823748,3970.94844193892,618.025479780269,0.155636742409705,5076.89990234375,2724.80004882812,0,-852.766689315719,562.542473070549,-102.002945319011,-0.041812198777598,0,-0.141664510393157,-0.214751387932736,1,1
"16",16,1,1,4499.29694898201,517.725697831751,0.115068132577666,5440.2998046875,3493.30004882812,0,-565.993913003353,3933.30303030303,618.003676669598,0.157120789298043,5039.7998046875,2692.80004882812,0,-821.699953816801,565.993918678978,-100.277978837847,-0.0420526567203771,0,-0.143897866155445,-0.208908377383142,1,1
