"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,7585.5273289536,1501.16475139407,0.197898535763519,9395.400390625,2252.80004882812,0,-467.499996624983,2417.15453361742,633.070638454976,0.261907391377061,5662,1785.30004882812,0,-5213.21568570676,5168.37279533617,868.094112939099,-0.0640088556135418,0,-0.193409229787778,-2.15675730004107,1,1
"2",2,1,1,7553.27881599195,1512.88437636136,0.200295052415946,9367.2998046875,2220.30004882812,0,-408.000054850033,2376.47879305753,482.246591883005,0.202924845486442,4674.60009765625,1777.5,0,-5191.92815875641,5176.80002293442,1030.63778447836,-0.00262979307049627,0,-0.171682598658963,-2.18471470224086,1,1
"3",3,1,1,7573.4423606179,1262.33696584009,0.166679418120916,9084.099609375,2241.30004882812,0,-360.200070126987,2471.01515521425,845.197104430824,0.342044484287083,6833.89990234375,1881.09997558594,0,-5191.55931597764,5102.42720540365,417.139861409265,-0.175365066166167,0,-0.145770077276501,-2.10098238573025,1,1
"4",4,1,1,7580.92127574574,1310.72530616079,0.17289789175813,9651.7001953125,2225.19995117188,0,-356.699950342328,2397.68486993963,816.948061338422,0.340723700424815,6757.60009765625,1868.5,0,-5254.77191707037,5183.23640580611,493.777244822368,-0.167825808666685,0,-0.148768486974399,-2.19160240069525,1,1
"5",5,1,1,7621.60913825758,1235.93571249549,0.16216204348391,9231.5,2328.5,0,-509.90002183201,2412.25150923295,802.673788203975,0.332748797184589,6679.7998046875,1818.59997558594,0,-5292.40942861365,5209.35762902462,433.261924291512,-0.17058675370068,0,-0.211379294356478,-2.19397082284199,1,1
"6",6,1,1,7579.14540423769,1202.14879721584,0.158612710681562,9076.599609375,2309.89990234375,0,-501.199950922758,2417.65452252012,795.427023561308,0.329007728834708,6661.7001953125,1808.69995117188,0,-5247.32186781756,5161.49088171756,406.721773654536,-0.170395018153146,0,-0.207308342136624,-2.17041840301808,1,1
"7",7,1,1,7554.06665778883,1157.60618675117,0.153242781562906,9038.400390625,2341,0,-543.099970648735,2413.41817589962,830.031259170767,0.343923513736432,6863.2998046875,1797.90002441406,0,-5233.32185467093,5140.6484818892,327.574927580399,-0.190680732173525,0,-0.225033513077894,-2.16842729823238,1,1
"8",8,1,1,7569.76058682528,1183.13905069767,0.156298080649586,9138.2001953125,2339.19995117188,0,-548.399902190219,2380.81819291548,828.511104931178,0.347994276672007,6853.10009765625,1790.80004882812,0,-5279.68746747773,5188.9423939098,354.627945766496,-0.191696196022421,0,-0.230340940699325,-2.21759371765064,1,1
"9",9,1,1,7521.58481297348,1167.78132861874,0.155257350366443,9028.2998046875,2328,0,-549.49999785982,2374.12121951941,825.184501124437,0.347574712841106,6838.5,1778.5,0,-5239.89059093599,5147.46359345407,342.596827494302,-0.192317362474664,0,-0.231454061124585,-2.20708637278289,1,1
"10",10,1,1,7507.31215228456,1201.92927508673,0.160101145484002,9012.2001953125,2319.30004882812,0,-543.20006861093,2361.30605616714,810.616428087467,0.343291555099492,6737.5,1776.09997558594,0,-5235.73441071997,5146.00609611742,391.312846999259,-0.183190409615491,0,-0.230042212102166,-2.2173044434649,1,1
"11",11,1,1,7479.43636067708,1404.67054675928,0.187804331639786,9007.2998046875,2308.19995117188,0,-546.399897227807,2390.03332889441,813.871155097954,0.340527115358026,6726.39990234375,1761.80004882812,0,-5177.16875709928,5089.40303178267,590.799391661322,-0.152722783718239,0,-0.228616015777722,-2.16614918901325,1,1
"12",12,1,1,7375.99994081439,1250.23827692394,0.16950085235303,8988.2998046875,2301,0,-456.300047825462,2621.42727198745,1030.18613017892,0.392986729476526,6941.7998046875,1844.69995117188,0,-4890.5758097784,4754.57266882694,220.052146745017,-0.223485877123496,0,-0.174065499623613,-1.86561567510915,1,1
"13",13,1,1,7369.90306877367,1245.29340861948,0.168970120366412,8917.900390625,2294.89990234375,0,-356.699948391385,2595.25152033026,978.133364799084,0.376893475309327,6931.2001953125,1938.19995117188,0,-4894.23335454679,4774.65154844342,267.160043820392,-0.207923354942915,0,-0.137443305821084,-1.88584162891618,1,1
"14",14,1,1,7324.14238577178,1224.57561661868,0.1671971340969,8904.2001953125,2207,0,-272.800043955116,2599.66364080256,1012.45388536112,0.389455723990724,6913,1934.19995117188,0,-4863.60329745167,4724.47874496922,212.121731257554,-0.222258589893824,0,-0.104936669372696,-1.87085868383735,1,1
"15",15,1,1,7410.2333614465,1212.86835174837,0.163674784934387,8916,2200.19995117188,0,-302.499995754101,2520.31211529356,984.551970677883,0.390646842787249,6823.89990234375,1897.69995117188,0,-5034.43337796814,4889.92124615294,228.316381070489,-0.226972057852863,0,-0.120024815148288,-1.99754361668882,1,1
"16",16,1,1,7390.2666385535,1191.60987456932,0.16124044406638,9222,2330.30004882812,0,-324.499998029148,2543.95151219223,968.581490338788,0.38073897466077,6801.2001953125,2005.80004882812,0,-4973.19999269161,4846.31512636127,223.02838423053,-0.219498530594391,0,-0.12755746187533,-1.9549114709368,1,1
"17",17,1,1,7430.31817441998,1207.28467739356,0.162480885616692,8928.400390625,2319.69995117188,0,-324.399900291551,2557.84546268348,960.511088802654,0.375515684123843,6789.5,1995.30004882812,0,-5004.7699848312,4872.47271173651,246.773588590905,-0.213034798507152,0,-0.126825449396469,-1.95663501092854,1,1
"18",18,1,1,7394.31816702178,1176.26455994238,0.159076811867313,8771.2001953125,2311.39990234375,0,-333.999874574743,2561.99697783499,966.244538743652,0.37714507359028,6766.2998046875,1977.40002441406,0,-4975.16997973764,4832.32118918679,210.020021198726,-0.218068261722967,0,-0.130367005685147,-1.94191094789733,1,1
"19",19,1,1,7423.69091796875,1130.31239356783,0.152257469506435,8776.2001953125,2290,0,-409.400022901254,2429.94545306581,863.234553764046,0.355248531474202,6676.39990234375,1880.59997558594,0,-5112.8193802964,4993.74546490294,267.077839803779,-0.202991061967767,0,-0.168481157626284,-2.10408812833459,1,1
