"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1",1,1,1,147385.626010321,25731.141653937,0.174583793212882,172713.831586548,45497.6037359411,0,-6542.1880916549,57395.0267339729,9382.17936420786,0.163466765294743,87355.2415447949,38955.4156405407,0,-90135.349566731,89990.5992763477,16348.9622897291,0.0111170279181387,0,-0.113985278236354,-1.57043832359396,1,1
"2",10,1,1,146948.412685818,21434.0616855702,0.145861131085487,167817.263853251,42035.6190253165,0,-6594.09976574693,61109.8181773111,16353.1624545572,0.267602865502041,115833.36296795,35441.5192555853,0,-87973.2687915944,85838.5945085065,5080.89923101307,-0.121741734416554,0,-0.107905733684464,-1.43959303783786,1,1
"3",100,1,1,130958.994790399,9519.27760120937,0.0726889941118213,151933.628834599,116031.909029956,0,-66550.6142083912,64408.3805763183,29077.1483935507,0.451449766837357,115557.213724047,27334.2571690385,0,-88697.651864531,66550.6142140811,-19557.8707923413,-0.378760772725536,0,-1.0332601691411,-1.3771135226639,1,1
"4",1000,1,1,125246.30922967,11575.4864135319,0.0924217766154322,143414.39803847,89441.97491289,0,-43900.5771990367,81345.7320287299,24429.5020102267,0.300316948424517,111045.104497764,29949.8199159011,0,-68547.460786149,43900.5772009406,-12854.0155966947,-0.207895171809085,0,-0.539678924808639,-0.842668190163181,1,1
"5",1001,1,1,125208.196685562,11543.609199723,0.0921953155248515,140939.989757185,89282.4325233086,0,-43844.9847736295,81363.2119051924,24941.4947214981,0.306545109730437,112111.654646216,26844.7462452261,0,-69469.9945488039,43844.9847803691,-13397.885521775,-0.214349794205586,0,-0.53887971906418,-0.85382561629638,1,1
"6",1002,1,1,131452.074019942,10411.6228977984,0.0792047061670468,145630.917105384,102445.832162952,0,-44755.4920895801,86696.5819300028,25150.935318081,0.2901029632101,120745.816983291,31297.3345087548,0,-73956.3077238775,44755.4920899391,-14739.3124202827,-0.210898257043054,0,-0.516231333384226,-0.853047560555368,1,1
"7",1003,1,1,136478.836109668,10343.3642101563,0.0757873125606436,153833.12470982,113304.680320216,0,-44491.6821737173,91987.1539315383,26275.1526898832,0.285639369921571,128218.215946435,34814.943864501,0,-80744.0565325326,44491.6821781299,-15931.7884797269,-0.209852057360927,0,-0.48367277681871,-0.877775353204498,1,1
"8",1004,1,1,129739.435212622,13545.1784101865,0.104402939537915,150792.192108717,94011.2115616493,0,-40632.1995753237,89107.2356371277,25138.62493232,0.282116539162906,123643.185962488,33458.3343304375,0,-67959.0711332059,40632.199575494,-11593.4465221335,-0.177713599624991,0,-0.455992145697243,-0.7626661364511,1,1
"9",1005,1,1,118508.399216533,12245.8198815129,0.103332927982074,140551.613930698,88253.8609413282,0,-40093.0941500163,78415.3050645979,23408.656902793,0.298521530758685,106910.587564587,23497.9662098894,0,-68328.0789993665,40093.0941519355,-11162.8370212801,-0.195188602776611,0,-0.511291693847112,-0.871361514733359,1,1
"10",1006,1,1,126279.349358044,16020.8187330749,0.126868081079912,154682.136939095,69860.2430202727,0,-35862.5707279398,85964.7983192523,23637.1447732744,0.27496306901683,119147.97568188,33997.6722851166,0,-58270.9913707744,40314.5510387918,-7616.32604019955,-0.148094987936918,0,-0.417177396202978,-0.677847124754137,1,1
