"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1",1,1,1,138661.315091383,22274.4385586864,0.160639169937244,166159.975129653,57950.9787653716,0,-18750.2385263667,57395.0267339729,9382.17936420786,0.163466765294743,87355.2415447949,38955.4156405407,0,-81343.2119470735,81266.2883574097,12892.2591944785,-0.00282759535749899,0,-0.326687512722565,-1.41725192191479,1,1
"2",10,1,1,137770.496764434,18365.068956003,0.133301899806636,161697.486025774,60215.0454402475,0,-24773.5261808389,61109.8181773111,16353.1624545572,0.267602865502041,115833.36296795,35441.5192555853,0,-78446.6601791383,76660.6785871229,2011.90650144588,-0.134300965695405,0,-0.405393550819577,-1.28369978047593,1,1
"3",100,1,1,121526.215760223,9715.12327398277,0.0799426133135849,137669.681422449,100404.233456556,0,-57117.8351808699,64408.3805763183,29077.1483935507,0.451449766837357,115557.213724047,27334.2571690385,0,-76428.5117367953,57117.8351839044,-19362.0251195679,-0.371507153523772,0,-0.886807503461297,-1.18662371345037,1,1
"4",1000,1,1,116805.271850337,9233.05935313131,0.0790465978706995,132699.458317022,97587.9601505275,0,-35459.5398205958,81345.7320287299,24429.5020102267,0.300316948424517,111045.104497764,29949.8199159011,0,-68595.7831152511,35459.5398216069,-15196.4426570954,-0.221270350553818,0,-0.435911496967931,-0.843262226603656,1,1
"5",1001,1,1,117421.02863864,9285.2106544838,0.0790762162632624,139045.006704253,101566.126098921,0,-36057.8167334323,81363.2119051924,24941.4947214981,0.306545109730437,112111.654646216,26844.7462452261,0,-74721.3798540531,36057.8167334472,-15656.2840670143,-0.227468893467175,0,-0.443171009220338,-0.918368118765043,1,1
"6",1002,1,1,124390.264692306,9776.10279583285,0.0785921858114473,144441.091217824,101419.556622714,0,-37693.6827564961,86696.5819300028,25150.935318081,0.2901029632101,120745.816983291,31297.3345087548,0,-72128.0959949629,37693.6827623036,-15374.8325222482,-0.211510777398653,0,-0.434777034081105,-0.831960088728733,1,1
"7",1003,1,1,130342.04546722,10388.8023828469,0.0797041533728239,150390.761800918,110291.520403006,0,-38354.8915304854,91987.1539315383,26275.1526898832,0.285639369921571,128218.215946435,34814.943864501,0,-78194.3601353658,38354.8915356819,-15886.3503070363,-0.205935216548747,0,-0.416959215403394,-0.850057391639296,1,1
"8",1004,1,1,125279.347697394,9736.48903728369,0.0777182290316649,148114.556609281,110733.683847305,0,-36172.1120547348,89107.2356371277,25138.62493232,0.282116539162906,123643.185962488,33458.3343304375,0,-77977.4438452486,36172.1120602668,-15402.1358950363,-0.204398310131241,0,-0.405939111409975,-0.875096655032561,1,1
"9",1005,1,1,111731.27919973,9934.31957476266,0.0889126093061565,131977.105899294,94759.435161914,0,-33315.9741322368,78415.3050645979,23408.656902793,0.298521530758685,106910.587564587,23497.9662098894,0,-71261.4689528357,33315.9741351319,-13474.3373280303,-0.209608921452528,0,-0.424865708356186,-0.908769900137875,1,1
"10",1006,1,1,121814.865331117,10231.5232240358,0.0839924027024497,139561.197280259,101277.675588097,0,-35850.0670065065,85964.7983192523,23637.1447732744,0.27496306901683,119147.97568188,33997.6722851166,0,-68013.6512391636,35850.0670118643,-13405.6215492386,-0.19097066631438,0,-0.417031944556749,-0.79118025713941,1,1
