"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1",1,1,1,80866.5978525679,61183.1394789058,0.756593465084953,151515.447173635,0,0.272727272727273,46478.7560979539,57395.0267339729,9382.17936420786,0.163466765294743,87355.2415447949,38955.4156405407,0,-23471.5711240314,23471.571118595,51800.9601146979,0.59312669979021,0.272727272727273,0.809804590097742,-0.408947821086008,0,1
"2",10,1,1,76814.5868595656,63738.2920425029,0.829768077240731,149926.813420153,0,0.393939393939394,47851.5987029355,61109.8181773111,16353.1624545572,0.267602865502041,115833.36296795,35441.5192555853,0,-15704.7686889439,15704.7686822545,47385.1295879457,0.56216521173869,0.393939393939394,0.783042727505641,-0.256992561217842,0,1
"3",100,1,1,74050.9046888056,54930.795713916,0.741797766614187,136774.270934401,0,0.303030303030303,34246.772553628,64408.3805763183,29077.1483935507,0.451449766837357,115557.213724047,27334.2571690385,0,-9642.52411338049,9642.52411248731,25853.6473203654,0.29034799977683,0.303030303030303,0.531712989011556,-0.149709153173863,0,1
"4",1000,1,1,67916.6402667365,35437.5097131809,0.521779486941687,118122.531867164,9829.79525063573,0,27328.2743283913,81345.7320287299,24429.5020102267,0.300316948424517,111045.104497764,29949.8199159011,0,13429.0917564977,-13429.0917619934,11008.0077029542,0.221462538517169,0,0.33595215934303,0.16508661759605,-1,1
"5",1001,1,1,61657.9306720911,38038.3300392168,0.616925180987862,118676.213639938,0,0.0303030303030303,34525.0089976716,81363.2119051924,24941.4947214981,0.306545109730437,112111.654646216,26844.7462452261,0,19705.2812328173,-19705.2812331013,13096.8353177188,0.310380071257424,0.0303030303030303,0.424331933182548,0.242189077488468,-1,1
"6",1002,1,1,64750.5508267345,39512.53290684,0.610226977258793,122801.197744544,0,0.0303030303030303,38512.0696791566,86696.5819300028,25150.935318081,0.2901029632101,120745.816983291,31297.3345087548,0,21946.0311030131,-21946.0311032683,14361.597588759,0.320124014048693,0.0303030303030303,0.444216701763981,0.253136059282383,-1,1
"7",1003,1,1,71685.2652881408,38743.877128096,0.540471978060819,127713.812078998,8601.16327205797,0,35866.271915363,91987.1539315383,26275.1526898832,0.285639369921571,128218.215946435,34814.943864501,0,20301.8886431737,-20301.8886433975,12468.7244382129,0.254832608139248,0,0.389905224614912,0.220703519735847,-1,1
"8",1004,1,1,70551.4392241592,39114.5084469933,0.554411205173533,126345.997505067,6282.41412872068,0,36222.5965477143,89107.2356371277,25138.62493232,0.282116539162906,123643.185962488,33458.3343304375,0,18555.7964099384,-18555.7964129685,13975.8835146734,0.272294666010627,0,0.406505670260314,0.208241185771976,-1,1
"9",1005,1,1,61339.7261396426,35434.6414124726,0.57767850694025,114474.586943257,0,0.0303030303030303,32045.7155884782,78415.3050645979,23408.656902793,0.298521530758685,106910.587564587,23497.9662098894,0,16246.6325926454,-17075.5789249553,12025.9845096796,0.279156976181565,0.0303030303030303,0.40866659336566,0.207187009975432,-1,1
"10",1006,1,1,71236.9546419732,35704.9459178228,0.50121381658257,123736.635307411,8456.40736938002,0,29380.4121161985,85964.7983192523,23637.1447732744,0.27496306901683,119147.97568188,33997.6722851166,0,14727.8436725266,-14727.8436772791,12067.8011445484,0.22625074756574,0,0.341772594022577,0.171324122902389,-1,1
"11",1007,1,1,64964.8767156526,41994.5044092544,0.646418596206406,124750.027622659,0,0.0909090909090909,41516.1380865953,85862.766689908,23001.8828937937,0.267891238315959,117206.316836172,35900.2715001466,0,20897.8899687874,-20897.8899742553,18992.6215154607,0.378527357890448,0.0909090909090909,0.483517357838353,0.243387102168042,-1,1
"12",1008,1,1,72293.075275072,41538.7868753859,0.574588737819391,126402.858624558,0,0.0303030303030303,37021.3432057145,83616.0587026873,23085.611806552,0.276090647714421,113946.560598699,32189.7603611339,0,11322.983422751,-11322.9834276153,18453.1750688339,0.298498090104971,0.0303030303030303,0.442753985061061,0.135416373342972,-1,1
"13",1009,1,1,68695.4303383165,41134.1592179049,0.598790327323437,131653.934821902,0,0.0606060606060606,38795.0175056136,84859.9883616207,23528.3196897247,0.277260463311185,115188.661170963,31520.2628552164,0,16164.558020269,-16164.5580233042,17605.8395281802,0.321529864012252,0.0606060606060606,0.457165010915312,0.190485036969197,-1,1
"14",101,1,1,92180.5346814247,53789.3133374951,0.583521385761003,149891.752813076,0,0.181818181818182,39035.5001180116,72988.0282687102,30437.8215398585,0.417024849990463,123989.275327539,35710.9039194171,0,-19192.5064171395,19192.5064127145,23351.4917976366,0.16649653577054,0.181818181818182,0.534820586936529,-0.26295417032614,0,1
"15",1010,1,1,81484.5005579427,42685.8013152187,0.523851788044835,134934.970375462,0,0.0909090909090909,34026.789755295,86358.6690879041,24049.786165909,0.278487225659173,116830.739610051,31357.0565429771,0,4874.16852666174,-4874.16852996143,18636.0151493096,0.245364562385662,0.0909090909090909,0.394017069909441,0.0564409870849254,-1,1
